competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Susy Rosero,Colombia,30,,30,10,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Suzanna Altunjan,Estonia,33,,33,11,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Belova Ekaterina,Russia,36,,36,12,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Kristina Zdorikova,Russia,39,,39,13,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Anna Guseva,Russia,42,,42,14,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Shana Laugel,France,45,,45,15,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Lisa Steele,Italy,48,,48,16,women’s wellness – open,2024-10-05,"Plovdiv,Bulgaria",https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,,2024-balkan-grand-prix-pro
Damien Patrick,"Santa Monica, CA",3,,3,1,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Emanuele Ricotti,Italy,6,,6,2,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Tomas Adame,"Huntersville, NC",9,,9,3,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Eric Wildberger Lisboa,Brazil,12,,12,4,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Camilo Diaz,Colombia,15,,15,5,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Ejike Enwereuzor,"Brooklyn, NY",18,,18,6,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Brandon Williams,"Joelton, TN",21,,21,7,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Mahfuz Hawit,"Lehigh Acres, FL",24,,24,8,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Abdullah Saif,"Houston, TX",27,,27,9,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Chris Barnes,"Rocky Mount, NC",30,,30,10,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Luke Woodside,"Colorado Springs, CO",33,,33,11,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Victor Compan,Mexico,36,,36,12,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Anthony Stephens,"Macon, GA",38,,38,13,men’s classic physique – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Ashley Hampton,"Atlanta, GA",3,,3,1,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Eli Fernandez,Mexico,6,,6,2,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Anna Setlak,Italy,9,,9,3,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Karene Gonzalez,"Springfield, MA",12,,12,4,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Gina Scafoglio,"San Diego, CA",15,,15,5,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Lauren Kralovec,"Boise, ID",19,,19,6,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Adair Libbrecht,Canada,21,,21,7,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Zoey Panzarino,"Las Vegas, NV",24,,24,8,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Brenda Garay,"Magnolia, TX",27,,27,9,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Angela White,"Gilbert, AZ",31,,31,10,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Irene Iravedra,Spain,32,,32,11,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Priscila Rodrigues,Brazil,38,,38,12,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Chelan Nour,"Marina Del Rey, CA",40,,40,13,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Jessica Nicole Dolias,"Toms River, NJ",42,,42,14,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Jennifer Lynch,"Woodbridge, VA",43,,43,15,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Merica Abbado,"Los Angeles, CA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Stephanie Harrison,"Sacramento, CA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Shawn Hektor Lewis,"Manassas, VA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Leslie Potts,"Santa Rosa, CA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Michelle Santana,"West Palm Beach, FL",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Gina Sardina,"Orange, CA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Olesya Sun,"Kitty Hawk, NC",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Jasmine Viana,"Rome, GA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Kelsie Woodhouse,"Auburn, WA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Sarah Cummings,"Robins Afb, GA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Cara Hellevang,"Parker, CO",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Lynsie Hice,"Fayetteville, AR",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Haley Johnson,"Grantville, GA",48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Aisha Kaipova,Kazakhstan,48,,48,16,women’s bikini – open,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Chelan Nour,"Marina Del Rey, CA",3,,3,1,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Kelsie Woodhouse,"Auburn, WA",6,,6,2,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Leslie Potts,"Santa Rosa, CA",9,,9,3,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Jasmine Viana,"Rome, GA",12,,12,4,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Merica Abbado,"Los Angeles, CA",15,,15,5,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Olesya Sun,"Kitty Hawk, NC",18,,18,6,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Michelle Santana,"West Palm Beach, FL",21,,21,7,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Gina Sardina,"Orange, CA",24,,24,8,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Janice Hayden,"Clarksville, TN",27,,27,9,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Marcela Loaiza,"Columbus, GA",30,,30,10,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Stephanie Harrison,"Sacramento, CA",33,,33,11,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Shawn Hektor Lewis,"Manassas, VA",36,,36,12,women’s bikini – masters 35+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Chelan Nour,"Marina Del Rey, CA",3,,3,1,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Leslie Potts,"Santa Rosa, CA",6,,6,2,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Merica Abbado,"Los Angeles, CA",9,,9,3,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Gina Sardina,"Orange, CA",12,,12,4,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Cheryl Sweeney,"West Palm Beach, FL",15,,15,5,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Yvonne Marie,"Hayden, ID",18,,18,6,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Janice Hayden,"Clarksville, TN",21,,21,7,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Marcela Loaiza,"Columbus, GA",24,,24,8,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Miriam Jenkins,"Apopka, FL",27,,27,9,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Shawn Hektor Lewis,"Manassas, VA",30,,30,10,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Debora Lossing,"Pismo Beach, CA",33,,33,11,women’s bikini – masters 40+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Merica Abbado,"Los Angeles, CA",3,,3,1,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Yvonne Marie,"Hayden, ID",6,,6,2,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Wynne Evangelista,"Chula Vista, CA",9,,9,3,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Miriam Jenkins,"Apopka, FL",12,,12,4,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Grace Gonzalez-Claburn,"Grovetown., GA",15,,15,5,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Shelley Eslick,"Spokane, WA",18,,18,6,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Debora Lossing,"Pismo Beach, CA",21,,21,7,women’s bikini – masters 50+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Grace Gonzalez-Claburn,"Grovetown., GA",3,,3,1,women’s bikini – masters 60+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Shelley Eslick,"Spokane, WA",6,,6,2,women’s bikini – masters 60+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Debora Lossing,"Pismo Beach, CA",9,,9,3,women’s bikini – masters 60+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Tamea Smith,"Mesa, AZ",12,,12,4,women’s bikini – masters 60+,2024-10-05,"Dalton,GAUnited States",https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,,2024-southern-muscle-showdown
Zhaofeng He,China,3,,3,1,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Obenrocksman Arrah,Cameroon,6,,6,2,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Seonghwan Kim,South Korea,9,,9,3,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Sugeun Jeon,South Korea,12,,12,4,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Hoyeon Jang,South Korea,15,,15,5,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Soohyun Park,South Korea,18,,18,6,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Siwei Yang,China,22,,22,7,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Won Jongyun,South Korea,23,,23,8,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Shane Stewart,"Vacaville, CA",28,,28,9,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Taejin Jung,South Korea,29,,29,10,men’s 212 bodybuilding – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Franklyn Audu,Canada,3,,3,1,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jongmin Lee,South Korea,8,,8,2,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Byambabar Amarbat,Mongolia,9,,9,3,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jinhwan Lee,South Korea,10,,10,4,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Tae Gun Park,South Korea,15,,15,5,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Hanjobody Kim,South Korea,18,,18,6,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jiheon Moon,South Korea,22,,22,7,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Han Sang Tae,South Korea,23,,23,8,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Brian Au,Hong Kong,27,,27,9,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Dong O Ryu,South Korea,30,,30,10,men’s classic physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Bong Seok Choi,South Korea,3,,3,1,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Brian Liu,China,6,,6,2,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Yiu Po Yuen,Hong Kong,9,,9,3,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Seongkwon Kim,South Korea,13,,13,4,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jingyu Xu,China,14,,14,5,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Juhyeop Han,South Korea,18,,18,6,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Kyungkeun Kwon,South Korea,22,,22,7,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Talha Kilic,Turkey,23,,23,8,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Penny Cheung,Hong Kong,27,,27,9,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Chen Jian,China,30,,30,10,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Gunseung Lee,South Korea,35,,35,11,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Cj Kim,"Los Angeles, CA",36,,36,12,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Bumsu Park,South Korea,38,,38,13,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Junho Lee,South Korea,42,,42,14,men’s physique – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Adela Ondrejovicova,Slovakia,3,,3,1,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Tereza Linhartova,Czech Republic,6,,6,2,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jiyoon Seo,South Korea,9,,9,3,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Zulfiya Bitiyeva,Kazakhstan,12,,12,4,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Anna Vitkalova,Russia,15,,15,5,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Panjapa Chumyam,Thailand,19,,19,6,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Yao Zeng,China,21,,21,7,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Goh Dominique Tanya,Singapore,25,,25,8,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Yang Hee Baek,South Korea,26,,26,9,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Yeonjoo Lee,South Korea,31,,31,10,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jianwen Chen,China,32,,32,11,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Ulrica Blom,South Africa,38,,38,12,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Eunyoung Seo,South Korea,38,,38,13,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Tatiana Altergod-Alerborn,Russia,45,,45,14,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Mikey Huang,China,46,,46,15,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Jua Jang,South Korea,47,,47,16,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Solongo Enkhbold,Mongolia,48,,48,16,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
Her Eun,South Korea,48,,48,16,women’s figure – open,2024-09-29,"Gyeonggi State,Korea, Republic of",https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,,2024-agp-pro-all-stars
