competitors_name,country,judging,finals,total,place,category,date,location,url,img_url,competition,check
Anand Yadav,"{'city': '', 'state': '', 'country': 'India'}",5.0,0.0,5.0,1,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Hamid Mehrabani,"{'city': '', 'state': '', 'country': 'Iran'}",10.0,0.0,10.0,2,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Saeid Goudarzi,"{'city': '', 'state': '', 'country': 'Iran'}",15.0,0.0,15.0,3,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Azamat Karabashev,"{'city': '', 'state': '', 'country': 'Russia'}",20.0,0.0,20.0,4,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Jenev Varghese,"{'city': '', 'state': '', 'country': 'India'}",25.0,0.0,25.0,5,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Andrei Murashkin,"{'city': '', 'state': '', 'country': 'Russia'}",30.0,0.0,30.0,6,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Sajjad Samandar,"{'city': '', 'state': '', 'country': 'Iran'}",35.0,0.0,35.0,7,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Piyush Rajput,"{'city': '', 'state': '', 'country': 'India'}",40.0,0.0,40.0,8,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Joe Manjoo,"{'city': '', 'state': '', 'country': 'South Africa'}",45.0,0.0,45.0,9,Men's Classic Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Manoj Patil,"{'city': '', 'state': '', 'country': 'India'}",5.0,0.0,5.0,1,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Amit Agre,"{'city': '', 'state': '', 'country': 'India'}",10.0,0.0,10.0,2,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Anik Ghosh,"{'city': '', 'state': '', 'country': 'India'}",15.0,0.0,15.0,3,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Ravi Pawar,"{'city': '', 'state': '', 'country': 'India'}",20.0,0.0,20.0,4,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Sandeep Sahoo,"{'city': '', 'state': '', 'country': 'India'}",25.0,0.0,25.0,5,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Shubham Kandu,"{'city': '', 'state': '', 'country': 'India'}",30.0,0.0,30.0,6,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Raja Ajith,"{'city': '', 'state': '', 'country': 'India'}",35.0,0.0,35.0,7,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Surojit Dey,"{'city': '', 'state': '', 'country': 'India'}",40.0,0.0,40.0,8,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Gowtham Gowthu,"{'city': '', 'state': '', 'country': 'India'}",45.0,0.0,45.0,9,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Navid Aali,"{'city': '', 'state': '', 'country': 'Japan'}",50.0,0.0,50.0,10,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Pankaj Gajwani,"{'city': '', 'state': '', 'country': 'India'}",55.0,0.0,55.0,11,Men's Physique,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Ravinder Singh,"{'city': '', 'state': '', 'country': 'India'}",5.0,0.0,5.0,1,Men's Wheelchair,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Rajesh John,"{'city': '', 'state': '', 'country': 'India'}",10.0,0.0,10.0,2,Men's Wheelchair,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Anand Arnold,"{'city': '', 'state': '', 'country': 'India'}",15.0,0.0,15.0,3,Men's Wheelchair,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Jil Meret Schmitz,"{'city': '', 'state': '', 'country': 'Thailand'}",5.0,0.0,5.0,1,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Chaniporn Kaechote,"{'city': '', 'state': '', 'country': 'Thailand'}",10.0,0.0,10.0,2,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Lisa Reith,"{'city': '', 'state': '', 'country': 'Germany'}",15.0,0.0,15.0,3,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Hana Salehi,"{'city': '', 'state': '', 'country': 'Iran'}",20.0,0.0,20.0,4,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Sarah Neuheisel,"{'city': '', 'state': '', 'country': 'Germany'}",25.0,0.0,25.0,5,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Rania Stamatiadou,"{'city': '', 'state': '', 'country': 'Greece'}",30.0,0.0,30.0,6,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Rutuja Hegshetye,"{'city': '', 'state': '', 'country': 'India'}",35.0,0.0,35.0,7,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Anna Egorkina,"{'city': '', 'state': '', 'country': 'Indonesia'}",40.0,0.0,40.0,8,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Kateryna Spievakova,"{'city': '', 'state': '', 'country': 'Ukraine'}",45.0,0.0,45.0,9,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Alisa Nemtinova,"{'city': '', 'state': '', 'country': 'Russia'}",50.0,0.0,50.0,10,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Sofia Kriuchkova,"{'city': '', 'state': '', 'country': 'Russia'}",55.0,0.0,55.0,11,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Petra Voldanova,"{'city': '', 'state': '', 'country': 'Czech Republic'}",60.0,0.0,60.0,12,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Prerana Anchan,"{'city': '', 'state': '', 'country': 'India'}",65.0,0.0,65.0,13,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
Andrea Breihof,"{'city': '', 'state': '', 'country': 'Germany'}",70.0,0.0,70.0,14,Women's Bikini,2024-12-20,"Mumbai,India",https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,,2024-sheru-classic-mumbai-pro-show,True
