Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Mary Jo COOKE-ELLIOTT,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Meriza DeGUZMAN,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Andrea DUMON,USA,69,74,,,,143,14,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Jeanette FREED,USA,80,74,,,,154,16,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Amy FRY,USA,37,39,,,,76,8,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Bernadette GALVAN,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Jennifer GATES,USA,18,19,,,,37,4,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Celeste GONZALEZ,Spain,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Heather GREEN,USA,80,75,,,,155,17,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Danielle HOLLANSHADE,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Mary Elizabeth LADO,USA,50,50,,,,100,10,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Amber LITTLEJOHN,USA,31,30,,,,61,6,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Jenny LYNN,USA,5,5,,,,10,1,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Shannon METERAUD,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Inga NEVERAUSKAITE,Lithuania,68,65,,,,133,13,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Nicole PITCHER-SCOTT,United Kingdom,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Zivile RAUDONIENE,Lithuania,60,62,,,,122,12,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Felicia ROMERO,USA,80,80,,,,160,18,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Amanda SAVELL,USA,28,26,,,,54,5,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Chastity SLONE,USA,71,80,,,,151,15,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Valerie WAUGAMAN,USA,44,40,,,,84,9,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Latisha WILDER,USA,62,60,,,,122,11,FIGURE
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Dennis WOLF,Germany,50,25,25.0,,,100,5,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",David HENRY,USA,98,46,,,,144,10,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Melvin ANTHONY,USA,48,29,30.0,,,107,6,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Mark DUGDALE,USA,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Dexter JACKSON,USA,30,16,16.0,,,62,3,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Sergey SHELESTOV,Russia,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Quincy TAYLOR,USA,160,,,,,160,16,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Hidetada YAMAGISHI,Japan,130,71,,,,201,13,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Victor MARTINEZ,Dominican Republic,16,7,9.0,,,32,2,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Darrem CHARLES,Trinidad & Tobago,140,57,,,,197,12,Men's BB
2007 Olympia,"Las Vegas, Nevada, USA","September 29, 2007",Bill WILMORE,USA,160,,,,,160,16,Men's BB
